PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20260102,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,04,상품,157000,,,20,kg,,,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,05,중품,137000,,,20,kg,,,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,04,상품,161000,,,20,kg,,,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,05,중품,138000,,,20,kg,,,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,04,상품,8250,,,2,kg,100,g,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,05,중품,7000,,,2,kg,100,g,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,415,감귤,01,노지,02,도매,13,S과,21000,,,5,kg,10,개,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,415,감귤,01,노지,02,도매,14,M과,17400,,,5,kg,10,개,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,04,상품,5660,,,1,kg,1,kg,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,05,중품,5060,,,1,kg,1,kg,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,24,L과,8600,,,2,kg,2,kg,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,25,M과,7200,,,2,kg,2,kg,,,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,04,상품,18500,1,kg,15,kg,1,kg,1,kg,N,20260120110329
20260102,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,05,중품,15100,1,kg,15,kg,1,kg,1,kg,N,20260120110329
